prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the teacher designed you the bag .,a friend showed a tea to me .,DO,PD,DESIGN,SHOW,THE,A,for,to,-38.85455322265625,"[-3.8306844, -5.8902035, -6.528654, -5.772872, -10.532284, -4.211192, -0.6241646, -1.4644991]"
the teacher designed you the bag .,a friend showed me a tea .,DO,DO,DESIGN,SHOW,THE,A,for,to,-31.311534881591797,"[-3.8306844, -5.8902035, -6.528654, -0.09996703, -1.3962018, -9.233063, -4.332762]"
the teacher designed you the gun .,a nurse purchased a pie for us .,DO,PD,DESIGN,PURCHASE,THE,A,for,for,-41.55244445800781,"[-3.8066251, -7.733472, -9.823755, -0.9850744, -9.678556, -2.5037582, -5.640388, -1.3808153]"
the teacher designed you the gun .,a nurse purchased us a pie .,DO,DO,DESIGN,PURCHASE,THE,A,for,for,-39.90495681762695,"[-3.8066251, -7.733472, -9.823755, -7.0608764, -0.9788264, -9.017831, -1.4835706]"
the teacher designed you the gun .,a partner promised a chocolate to her .,DO,PD,DESIGN,PROMISE,THE,A,for,to,-45.42301940917969,"[-3.8066251, -9.281266, -10.472227, -3.112987, -8.44816, -5.8763647, -2.2647057, -2.1606824]"
the teacher designed you the gun .,a partner promised her a chocolate .,DO,DO,DESIGN,PROMISE,THE,A,for,to,-39.70936584472656,"[-3.8066251, -9.281266, -10.472227, -2.6425805, -1.6757028, -6.8326693, -4.998294]"
the teacher drew her the bell .,a band designed a key for us .,DO,PD,DRAW,DESIGN,THE,A,for,for,-45.119903564453125,"[-3.829958, -7.4273024, -9.327475, -5.9552245, -7.7213864, -2.2652645, -7.002925, -1.5903696]"
the teacher drew her the bell .,a band designed us a key .,DO,DO,DRAW,DESIGN,THE,A,for,for,-46.65483474731445,"[-3.829958, -7.4273024, -9.327475, -11.340073, -4.521766, -7.6566706, -2.5515904]"
the teacher drew him the bell .,a reader took a newspaper to me .,DO,PD,DRAW,TAKE,THE,A,for,to,-40.63246154785156,"[-3.8650112, -6.975369, -6.3782825, -2.543737, -10.256182, -5.162098, -3.4067225, -2.0450587]"
the teacher drew him the bell .,a reader took me a newspaper .,DO,DO,DRAW,TAKE,THE,A,for,to,-35.435203552246094,"[-3.8650112, -6.975369, -6.3782825, -2.1519294, -0.7694976, -9.6918745, -5.6032405]"
the teacher drew the ball for them .,an aunt threw a key to me .,PD,PD,DRAW,THROW,THE,A,for,to,-41.366451263427734,"[-6.0482063, -8.62701, -7.896663, -0.90760815, -8.0906105, -1.6600034, -6.824023, -1.3123266]"
the teacher drew the ball for them .,an aunt threw me a key .,PD,DO,DRAW,THROW,THE,A,for,to,-38.1520881652832,"[-6.0482063, -8.62701, -7.896663, -5.4482403, -0.68412536, -7.5375357, -1.9103062]"
the teacher drew the bell for her .,a band designed a key for us .,PD,PD,DRAW,DESIGN,THE,A,for,for,-44.15323257446289,"[-3.8577664, -7.404293, -9.387847, -6.34178, -7.7245436, -1.8437717, -6.110781, -1.4824474]"
the teacher drew the bell for her .,a band designed us a key .,PD,DO,DRAW,DESIGN,THE,A,for,for,-47.12526321411133,"[-3.8577664, -7.404293, -9.387847, -11.575, -4.517468, -7.6607466, -2.7221446]"
the teacher drew the bell for him .,a reader took a newspaper to me .,PD,PD,DRAW,TAKE,THE,A,for,to,-40.22557830810547,"[-3.8459888, -7.0724754, -6.3983192, -2.273192, -10.218306, -4.725563, -3.617687, -2.0740495]"
the teacher drew the bell for him .,a reader took me a newspaper .,PD,DO,DRAW,TAKE,THE,A,for,to,-38.95914840698242,"[-3.8459888, -7.0724754, -6.3983192, -3.0152879, -1.441773, -10.812904, -6.3723993]"
the teacher drew the bell for you .,a chief delivered a cheese for it .,PD,PD,DRAW,DELIVER,THE,A,for,for,-49.790672302246094,"[-3.8468244, -9.106034, -12.401646, -1.0289836, -11.3873415, -4.223384, -6.9793057, -0.8171548]"
the teacher drew the bell for you .,a chief delivered it a cheese .,PD,DO,DRAW,DELIVER,THE,A,for,for,-50.57150650024414,"[-3.8468244, -9.106034, -12.401646, -4.754213, -6.181338, -11.5838175, -2.6976337]"
the teacher drew the flower for us .,a guest sold a bag to it .,PD,PD,DRAW,SELL,THE,A,for,to,-45.58917236328125,"[-3.8657136, -7.7205763, -14.15573, -2.3102756, -4.7258782, -3.9123435, -7.9947066, -0.9039463]"
the teacher drew the flower for us .,a guest sold it a bag .,PD,DO,DRAW,SELL,THE,A,for,to,-46.40026092529297,"[-3.8657136, -7.7205763, -14.15573, -5.3288817, -6.4338803, -6.3291965, -2.566281]"
the teacher drew the flower for you .,a lawyer fed a meal to him .,PD,PD,DRAW,FEED,THE,A,for,to,-39.732933044433594,"[-3.8571408, -6.9345646, -12.264713, -2.2092807, -7.905093, -0.70461136, -4.594408, -1.2631216]"
