prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a daughter found a chicken for us .,the leader showed the instrument to them .,PD,PD,FIND,SHOW,A,THE,for,to,-44.93132781982422,"[-2.8514192, -7.3034987, -13.522156, -2.1598454, -9.780794, -1.3980589, -6.8142157, -1.101342]"
a daughter found a chicken for us .,the leader showed them the instrument .,PD,DO,FIND,SHOW,A,THE,for,to,-42.11107635498047,"[-2.8514192, -7.3034987, -13.522156, -6.285696, -1.616163, -9.130055, -1.4020855]"
a daughter found a salad for it .,the hero sold the meal to us .,PD,PD,FIND,SELL,A,THE,for,to,-43.477088928222656,"[-2.8426387, -9.844795, -11.023332, -1.8029478, -8.520627, -2.3224602, -6.268802, -0.85148585]"
a daughter found a salad for it .,the hero sold us the meal .,PD,DO,FIND,SELL,A,THE,for,to,-41.19831848144531,"[-2.8426387, -9.844795, -11.023332, -6.3791113, -2.9378479, -7.3915415, -0.7790514]"
a daughter found a salad for me .,the president sold the machine to him .,PD,PD,FIND,SELL,A,THE,for,to,-38.526123046875,"[-2.8552668, -6.461919, -9.807884, -1.8159244, -9.879121, -1.2764416, -5.0536823, -1.3758845]"
a daughter found a salad for me .,the president sold him the machine .,PD,DO,FIND,SELL,A,THE,for,to,-37.96770477294922,"[-2.8552668, -6.461919, -9.807884, -4.9819384, -2.9773455, -10.140294, -0.74305564]"
a daughter found a salad for you .,the princess made the book for us .,PD,PD,FIND,MAKE,A,THE,for,for,-37.52632141113281,"[-2.852777, -10.492565, -6.6538467, -2.676341, -8.348876, -2.5092819, -3.381052, -0.61158156]"
a daughter found a salad for you .,the princess made us the book .,PD,DO,FIND,MAKE,A,THE,for,for,-41.024070739746094,"[-2.852777, -10.492565, -6.6538467, -5.3560934, -5.129531, -9.624571, -0.91468716]"
a daughter found it a salad .,the hero sold the meal to us .,DO,PD,FIND,SELL,A,THE,for,to,-43.533538818359375,"[-2.8347883, -9.795691, -10.70065, -2.1063468, -8.398027, -1.567328, -6.958874, -1.1718336]"
a daughter found it a salad .,the hero sold us the meal .,DO,DO,FIND,SELL,A,THE,for,to,-40.08013916015625,"[-2.8347883, -9.795691, -10.70065, -6.1285124, -3.0148187, -6.9259634, -0.6797152]"
a daughter found me a salad .,the president sold the machine to him .,DO,PD,FIND,SELL,A,THE,for,to,-39.2949104309082,"[-2.8691819, -6.631671, -9.811497, -2.0137641, -9.9724865, -1.1992149, -5.067664, -1.7294307]"
a daughter found me a salad .,the president sold him the machine .,DO,DO,FIND,SELL,A,THE,for,to,-37.62128448486328,"[-2.8691819, -6.631671, -9.811497, -4.656272, -3.2243433, -9.902487, -0.5258361]"
a daughter found us a chicken .,the leader showed the instrument to them .,DO,PD,FIND,SHOW,A,THE,for,to,-46.590538024902344,"[-2.8695157, -7.5108023, -13.5544615, -2.7322667, -10.335398, -1.6599909, -7.0634723, -0.86463034]"
a daughter found us a chicken .,the leader showed them the instrument .,DO,DO,FIND,SHOW,A,THE,for,to,-41.589412689208984,"[-2.8695157, -7.5108023, -13.5544615, -5.803426, -1.7899567, -8.930567, -1.1306827]"
a daughter found you a salad .,the princess made the book for us .,DO,PD,FIND,MAKE,A,THE,for,for,-38.18360900878906,"[-2.8554513, -10.342091, -6.7624044, -2.6676035, -8.512258, -3.500918, -2.9104707, -0.6324143]"
a daughter found you a salad .,the princess made us the book .,DO,DO,FIND,MAKE,A,THE,for,for,-40.92207336425781,"[-2.8554513, -10.342091, -6.7624044, -4.667739, -5.5066147, -10.091242, -0.69652987]"
a daughter gave a pot to it .,the leader bought the tea for us .,PD,PD,GIVE,BUY,A,THE,to,for,-45.081634521484375,"[-2.828289, -7.4036283, -16.729918, -1.4199655, -7.453639, -2.9313147, -5.598456, -0.71642375]"
a daughter gave a pot to it .,the leader bought us the tea .,PD,DO,GIVE,BUY,A,THE,to,for,-46.41960906982422,"[-2.828289, -7.4036283, -16.729918, -7.690875, -3.4789517, -7.447092, -0.8408575]"
a daughter gave a pot to you .,the physician promised the juice to them .,PD,PD,GIVE,PROMISE,A,THE,to,to,-43.83641052246094,"[-2.8604712, -10.868762, -9.22074, -2.7807555, -9.714506, -2.250197, -5.490252, -0.65072906]"
a daughter gave a pot to you .,the physician promised them the juice .,PD,DO,GIVE,PROMISE,A,THE,to,to,-40.54619216918945,"[-2.8604712, -10.868762, -9.22074, -5.9998374, -2.813765, -7.937463, -0.84515357]"
a daughter gave it a pot .,the leader bought the tea for us .,DO,PD,GIVE,BUY,A,THE,to,for,-46.82337951660156,"[-2.8549132, -7.3822026, -17.111168, -1.3319584, -8.385649, -2.8868823, -5.9412127, -0.92938995]"
a daughter gave it a pot .,the leader bought us the tea .,DO,DO,GIVE,BUY,A,THE,to,for,-47.16507339477539,"[-2.8549132, -7.3822026, -17.111168, -7.357178, -3.7626405, -7.89165, -0.80532026]"
a daughter gave you a pot .,the physician promised the juice to them .,DO,PD,GIVE,PROMISE,A,THE,to,to,-45.403282165527344,"[-2.8751562, -10.67937, -9.041196, -2.9672909, -10.447213, -2.8597383, -5.84069, -0.69262785]"
a daughter gave you a pot .,the physician promised them the juice .,DO,DO,GIVE,PROMISE,A,THE,to,to,-39.938873291015625,"[-2.8751562, -10.67937, -9.041196, -5.6290226, -3.0429099, -7.9615655, -0.70965135]"
a daughter got a bell for him .,the brother made the flower for it .,PD,PD,GET,MAKE,A,THE,for,for,-42.984710693359375,"[-2.849104, -8.880629, -8.138097, -1.7675984, -11.455978, -2.746449, -6.2924957, -0.85436356]"
a daughter got a bell for him .,the brother made it the flower .,PD,DO,GET,MAKE,A,THE,for,for,-42.87226104736328,"[-2.849104, -8.880629, -8.138097, -2.6216614, -5.7782264, -11.902687, -2.7018561]"
a daughter got a bell for them .,the mayor saved the chicken for us .,PD,PD,GET,SAVE,A,THE,for,for,-39.65917205810547,"[-2.8507586, -7.3730364, -12.495763, -1.1052612, -8.865196, -1.8504382, -4.6785984, -0.44012251]"
a daughter got a bell for them .,the mayor saved us the chicken .,PD,DO,GET,SAVE,A,THE,for,for,-43.21650695800781,"[-2.8507586, -7.3730364, -12.495763, -5.364037, -3.9555805, -10.509464, -0.6678675]"
