prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a singer threw a juice to you .,the manager gave the chicken to us .,PD,PD,THROW,GIVE,A,THE,to,to,-34.494510650634766,"[-2.985036, -8.692297, -5.5862265, -2.4745212, -8.55132, -2.212731, -3.1941476, -0.79823273]"
a singer threw a juice to you .,the manager gave us the chicken .,PD,DO,THROW,GIVE,A,THE,to,to,-31.7352294921875,"[-2.985036, -8.692297, -5.5862265, -3.0986285, -2.216273, -7.446692, -1.7100762]"
a singer threw a juice to you .,the colonel caught the cup for them .,PD,PD,THROW,CATCH,A,THE,to,for,-43.7408561706543,"[-2.985036, -10.950691, -6.780655, -2.0219183, -8.963367, -4.8443785, -6.40628, -0.78853023]"
a singer threw a juice to you .,the colonel caught them the cup .,PD,DO,THROW,CATCH,A,THE,to,for,-42.158180236816406,"[-2.985036, -10.950691, -6.780655, -4.7574778, -6.4741664, -8.683999, -1.5261545]"
a singer threw a pot to it .,the son supplied the beer to me .,PD,PD,THROW,SUPPLY,A,THE,to,to,-37.13462829589844,"[-2.941382, -7.9225035, -13.058591, -1.1409311, -6.4752045, -1.5431669, -3.27568, -0.7771667]"
a singer threw a pot to it .,the son supplied me the beer .,PD,DO,THROW,SUPPLY,A,THE,to,to,-36.94953155517578,"[-2.941382, -7.9225035, -13.058591, -2.746911, -2.9281518, -6.09924, -1.2527537]"
a singer threw a pot to me .,the adult left the jacket for it .,PD,PD,THROW,LEAVE,A,THE,to,for,-45.49037551879883,"[-2.9952104, -9.91543, -8.368168, -2.2762403, -10.111067, -4.1838226, -6.27551, -1.3649257]"
a singer threw a pot to me .,the adult left it the jacket .,PD,DO,THROW,LEAVE,A,THE,to,for,-45.286773681640625,"[-2.9952104, -9.91543, -8.368168, -4.5017595, -6.325639, -11.313582, -1.866984]"
a singer threw a pot to them .,the leader drew the telephone for you .,PD,PD,THROW,DRAW,A,THE,to,for,-49.79862594604492,"[-2.983905, -7.365683, -15.500214, -2.9592948, -9.684204, -3.908219, -6.7187366, -0.6783696]"
a singer threw a pot to them .,the leader drew you the telephone .,PD,DO,THROW,DRAW,A,THE,to,for,-54.918067932128906,"[-2.983905, -7.365683, -15.500214, -8.581996, -6.458573, -12.759267, -1.2684301]"
a singer threw a pot to them .,the colonel left the tea for me .,PD,PD,THROW,LEAVE,A,THE,to,for,-37.33110046386719,"[-2.983905, -11.007927, -5.941045, -1.4959823, -7.9882283, -4.0954127, -2.6583776, -1.1602205]"
a singer threw a pot to them .,the colonel left me the tea .,PD,DO,THROW,LEAVE,A,THE,to,for,-36.35297393798828,"[-2.983905, -11.007927, -5.941045, -4.4333353, -3.474749, -7.01272, -1.4992921]"
a singer threw a pot to you .,the president caught the coat for her .,PD,PD,THROW,CATCH,A,THE,to,for,-41.526519775390625,"[-2.981859, -6.438998, -9.097725, -2.1517026, -10.437385, -4.3299875, -4.56393, -1.5249337]"
a singer threw a pot to you .,the president caught her the coat .,PD,DO,THROW,CATCH,A,THE,to,for,-43.89826965332031,"[-2.981859, -6.438998, -9.097725, -4.5332785, -6.582491, -12.803797, -1.4601244]"
a singer threw it a pot .,the son supplied the beer to me .,DO,PD,THROW,SUPPLY,A,THE,to,to,-38.59095001220703,"[-2.975376, -8.027258, -12.851579, -1.415789, -6.7662663, -2.7053308, -2.9951851, -0.8541666]"
a singer threw it a pot .,the son supplied me the beer .,DO,DO,THROW,SUPPLY,A,THE,to,to,-36.31437301635742,"[-2.975376, -8.027258, -12.851579, -2.2601323, -2.7744215, -6.2746778, -1.1509298]"
a singer threw me a guitar .,the teacher purchased the tea for you .,DO,PD,THROW,PURCHASE,A,THE,to,for,-42.54530334472656,"[-3.0778995, -9.044852, -10.394045, -2.075757, -7.62272, -3.0229366, -6.414906, -0.8921862]"
a singer threw me a guitar .,the teacher purchased you the tea .,DO,DO,THROW,PURCHASE,A,THE,to,for,-41.46732711791992,"[-3.0778995, -9.044852, -10.394045, -6.870453, -3.8567245, -6.947557, -1.2757971]"
a singer threw me a jacket .,the doctor got the meal for you .,DO,PD,THROW,GET,A,THE,to,for,-41.11692810058594,"[-3.0885658, -8.45722, -6.2680683, -3.151708, -9.561521, -4.282255, -5.432202, -0.8753905]"
a singer threw me a jacket .,the doctor got you the meal .,DO,DO,THROW,GET,A,THE,to,for,-36.43925857543945,"[-3.0885658, -8.45722, -6.2680683, -6.7336435, -4.0080647, -6.993315, -0.890383]"
a singer threw me a pot .,the adult left the jacket for it .,DO,PD,THROW,LEAVE,A,THE,to,for,-45.549530029296875,"[-3.0368946, -9.862221, -8.591015, -2.5117245, -9.90028, -4.1300497, -6.303772, -1.2135731]"
a singer threw me a pot .,the adult left it the jacket .,DO,DO,THROW,LEAVE,A,THE,to,for,-45.60765075683594,"[-3.0368946, -9.862221, -8.591015, -4.450264, -6.4558935, -11.5989485, -1.6124136]"
a singer threw them a candy .,the secretary fed the chicken to us .,DO,PD,THROW,FEED,A,THE,to,to,-41.673606872558594,"[-3.047019, -9.249581, -12.002959, -2.0724773, -6.2864556, -2.0305762, -6.1018896, -0.88265103]"
a singer threw them a candy .,the secretary fed us the chicken .,DO,DO,THROW,FEED,A,THE,to,to,-39.10227966308594,"[-3.047019, -9.249581, -12.002959, -4.860443, -2.9093804, -6.0374255, -0.9954702]"
a singer threw them a guitar .,the husband promised the plate to you .,DO,PD,THROW,PROMISE,A,THE,to,to,-44.054443359375,"[-3.068795, -9.01318, -7.7773824, -3.671115, -11.414426, -1.8245548, -6.324844, -0.96014595]"
a singer threw them a guitar .,the husband promised you the plate .,DO,DO,THROW,PROMISE,A,THE,to,to,-40.29802322387695,"[-3.068795, -9.01318, -7.7773824, -5.105069, -3.4282773, -10.534506, -1.3708134]"
a singer threw them a pot .,the leader drew the telephone for you .,DO,PD,THROW,DRAW,A,THE,to,for,-50.45579147338867,"[-3.0478053, -7.44767, -15.468163, -3.003685, -10.107287, -3.8752034, -6.7727046, -0.73327243]"
a singer threw them a pot .,the leader drew you the telephone .,DO,DO,THROW,DRAW,A,THE,to,for,-53.53797149658203,"[-3.0478053, -7.44767, -15.468163, -8.179359, -5.7271028, -12.740574, -0.9272993]"
a singer threw them a pot .,the colonel left the tea for me .,DO,PD,THROW,LEAVE,A,THE,to,for,-38.3896484375,"[-3.0478053, -11.023009, -5.933864, -1.7603483, -7.908718, -4.4492865, -3.1059468, -1.1606686]"
