prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew us the hat .,DRAW,THE,for,a lady brought him a pie .,BRING,A,to,-35.7232551574707,-32.87836837768555,-35.91038131713867,-31.51826477050781
the champion drew him the cup .,DRAW,THE,for,a cousin brought you a bag .,BRING,A,to,-39.50648498535156,-36.51003646850586,-39.03433990478516,-34.63745880126953
the leader drew him the telephone .,DRAW,THE,for,an uncle brought you an anchor .,BRING,A,to,-45.80320358276367,-42.54379653930664,-44.71915435791016,-40.663307189941406
the manager drew them the gun .,DRAW,THE,for,a man brought her a book .,BRING,A,to,-30.08811378479004,-27.36857986450196,-29.54502487182617,-26.119054794311523
the cop drew you the coat .,DRAW,THE,for,a girl brought her a coffee .,BRING,A,to,-36.66442108154297,-30.33434295654297,-36.14647674560547,-29.17735481262207
the secretary drew them the card .,DRAW,THE,for,a princess brought us a coffee .,BRING,A,to,-41.28346252441406,-37.66061401367188,-41.18106460571289,-36.06521224975586
the husband drew me the hat .,DRAW,THE,for,a lady brought him a computer .,BRING,A,to,-37.938087463378906,-35.35011291503906,-37.52951049804688,-33.04828643798828
the employee drew it the button .,DRAW,THE,for,a colonel brought me a television .,BRING,A,to,-43.390357971191406,-41.24658203125,-44.036563873291016,-42.1740608215332
the employee drew us the glass .,DRAW,THE,for,a teacher brought him an engine .,BRING,A,to,-40.46769332885742,-38.00950622558594,-38.95375442504883,-34.56062316894531
the student drew her the cup .,DRAW,THE,for,a mayor brought them an instrument .,BRING,A,to,-43.44420623779297,-40.40892791748047,-43.76690673828125,-39.84314727783203
the princess drew her the plate .,DRAW,THE,for,a colonel brought you a tea .,BRING,A,to,-43.482078552246094,-38.16323471069336,-40.61949920654297,-35.252227783203125
the actress drew you the card .,DRAW,THE,for,an aunt brought him a jacket .,BRING,A,to,-41.63980484008789,-36.747520446777344,-41.718894958496094,-35.720584869384766
the mother drew him the flower .,DRAW,THE,for,a hero brought it a chocolate .,BRING,A,to,-41.76302337646485,-42.11958694458008,-43.12446212768555,-41.09849166870117
the president drew you the iron .,DRAW,THE,for,a soldier brought us a cup .,BRING,A,to,-37.87556838989258,-33.744232177734375,-37.39365768432617,-32.235477447509766
the mother drew them the crystal .,DRAW,THE,for,an employee brought you a camera .,BRING,A,to,-42.66179275512695,-39.85496520996094,-41.06048583984375,-36.56073760986328
the guest drew them the guitar .,DRAW,THE,for,a parent brought us a meal .,BRING,A,to,-36.980560302734375,-32.897972106933594,-37.33262252807617,-32.62058639526367
the chief drew it the newspaper .,DRAW,THE,for,a prince brought us a motor .,BRING,A,to,-43.041446685791016,-38.59492492675781,-42.14027786254883,-38.32322311401367
the employee drew us the engine .,DRAW,THE,for,a colonel brought you a bottle .,BRING,A,to,-41.526615142822266,-38.98068237304688,-41.17873764038086,-37.43782424926758
the husband drew me the button .,DRAW,THE,for,a professor brought them a tea .,BRING,A,to,-45.040958404541016,-40.38482284545898,-45.00864410400391,-37.74742889404297
the secretary drew you the card .,DRAW,THE,for,a soldier brought me a telephone .,BRING,A,to,-40.887020111083984,-37.01773071289063,-40.09471893310547,-34.75086212158203
the opponent drew you the crystal .,DRAW,THE,for,a father brought me a beer .,BRING,A,to,-42.51566696166992,-39.41755294799805,-41.614532470703125,-37.71847915649414
the professor drew them the key .,DRAW,THE,for,a doctor brought us a tea .,BRING,A,to,-40.98864364624024,-34.970458984375,-40.49256896972656,-33.359249114990234
the kid drew us the bowl .,DRAW,THE,for,a candidate brought you a chocolate .,BRING,A,to,-44.32786560058594,-41.10731506347656,-43.05171203613281,-37.74039840698242
the girl drew him the instrument .,DRAW,THE,for,a mayor brought me a coffee .,BRING,A,to,-44.63269805908203,-39.27682876586914,-44.714298248291016,-38.17758941650391
the pilot drew them the coat .,DRAW,THE,for,an employer brought you a tea .,BRING,A,to,-48.742149353027344,-41.73434829711914,-45.609771728515625,-38.88337707519531
a child drew it a jacket .,DRAW,A,for,the husband brought us the newspaper .,BRING,THE,to,-33.570255279541016,-29.765430450439453,-33.847042083740234,-29.64316749572754
a mother drew you a crystal .,DRAW,A,for,the secretary brought them the beer .,BRING,THE,to,-43.76959609985352,-42.40013885498047,-43.018775939941406,-39.46929550170898
a princess drew them a button .,DRAW,A,for,the champion brought me the hat .,BRING,THE,to,-36.13435363769531,-33.910911560058594,-37.377220153808594,-33.52701187133789
a son drew us a bell .,DRAW,A,for,the parent brought you the chocolate .,BRING,THE,to,-39.25597381591797,-37.52828598022461,-39.9796028137207,-37.21217727661133
a pilot drew you a computer .,DRAW,A,for,the secretary brought her the juice .,BRING,THE,to,-43.07647705078125,-39.47880935668945,-44.25575256347656,-37.10262298583984
a hero drew us an engine .,DRAW,A,for,the pilot brought it the pie .,BRING,THE,to,-39.83462524414063,-38.41304016113281,-39.869049072265625,-38.044532775878906
a sheriff drew it a knife .,DRAW,A,for,the mother brought you the plate .,BRING,THE,to,-37.25471115112305,-35.95378875732422,-35.96653747558594,-34.18339157104492
a worker drew him a key .,DRAW,A,for,the mother brought it the coffee .,BRING,THE,to,-35.86174774169922,-36.540016174316406,-37.61714553833008,-38.09044647216797
a chief drew me a crystal .,DRAW,A,for,the author brought you the guitar .,BRING,THE,to,-40.238956451416016,-40.3613510131836,-39.92918014526367,-38.39911651611328
a student drew you a pot .,DRAW,A,for,the guy brought it the iron .,BRING,THE,to,-37.06321334838867,-38.83419418334961,-38.1970100402832,-40.35685348510742
a husband drew you a wire .,DRAW,A,for,the employee brought us the television .,BRING,THE,to,-39.61441421508789,-38.06098175048828,-39.748870849609375,-36.21744918823242
an uncle drew her a telephone .,DRAW,A,for,the lady brought it the key .,BRING,THE,to,-32.581878662109375,-34.586483001708984,-33.00724029541016,-34.05685043334961
an aunt drew him a crystal .,DRAW,A,for,the professor brought us the meal .,BRING,THE,to,-37.96683883666992,-34.916439056396484,-38.140357971191406,-33.728965759277344
a writer drew us a bowl .,DRAW,A,for,the bishop brought you the pie .,BRING,THE,to,-40.72560119628906,-36.73877716064453,-40.6424674987793,-35.99991226196289
a brother drew us a coat .,DRAW,A,for,the lawyer brought me the newspaper .,BRING,THE,to,-34.863037109375,-33.77393341064453,-35.43775939941406,-32.30436325073242
a prince drew us a jacket .,DRAW,A,for,the lady brought you the cigarette .,BRING,THE,to,-35.32329559326172,-33.10282516479492,-37.98567199707031,-33.20108795166016
a son drew him a telephone .,DRAW,A,for,the worker brought us the pie .,BRING,THE,to,-35.70256042480469,-33.86781692504883,-36.59403991699219,-32.359798431396484
a man drew us a plate .,DRAW,A,for,the worker brought them the coffee .,BRING,THE,to,-35.78984069824219,-34.635894775390625,-38.35040664672852,-35.73790740966797
a soldier drew you a bag .,DRAW,A,for,the actor brought him the glass .,BRING,THE,to,-36.80525207519531,-36.277252197265625,-37.50462341308594,-34.719215393066406
a father drew us a crystal .,DRAW,A,for,the mayor brought you the key .,BRING,THE,to,-36.13909149169922,-33.2807731628418,-36.60783767700195,-32.429622650146484
a winner drew it an instrument .,DRAW,A,for,the guy brought you the beer .,BRING,THE,to,-34.036617279052734,-33.28219985961914,-34.295955657958984,-33.74014663696289
a pilot drew you a telephone .,DRAW,A,for,the husband brought them the beer .,BRING,THE,to,-37.63640975952149,-35.890167236328125,-39.456356048583984,-36.067684173583984
an adult drew them a machine .,DRAW,A,for,the parent brought it the beer .,BRING,THE,to,-38.86153411865234,-39.79339218139648,-38.03131866455078,-39.02396011352539
a guy drew you a glass .,DRAW,A,for,the secretary brought us the chocolate .,BRING,THE,to,-38.523223876953125,-34.89118576049805,-40.27473831176758,-35.00467300415039
a buddy drew you a bell .,DRAW,A,for,the priest brought him the pot .,BRING,THE,to,-39.416282653808594,-37.652442932128906,-39.393531799316406,-35.93223571777344
the employee found us the tea .,FIND,THE,for,a lady brought him a pie .,BRING,A,to,-33.66038131713867,-31.42371368408203,-34.337249755859375,-31.076122283935547
the employee found them the salad .,FIND,THE,for,a cousin brought you a bag .,BRING,A,to,-37.21782684326172,-34.56767654418945,-36.123416900634766,-32.819313049316406
the nurse found it the ball .,FIND,THE,for,an uncle brought you an anchor .,BRING,A,to,-42.70473098754883,-38.42409133911133,-40.972900390625,-37.67333984375
the guest found him the bowl .,FIND,THE,for,a man brought her a book .,BRING,A,to,-28.134580612182617,-25.51382827758789,-28.419139862060547,-23.840410232543945
