prime_sentence,prime_verb,prime_det,prime_prep,target_sentence,target_verb,target_det,target_prep,PD-PD,PD-DO,DO-PD,DO-DO
the partner drew the attorney the hat .,DRAW,THE,for,a lady brought a club a pie .,BRING,A,to,-42.144493103027344,-46.90205383300781,-39.73660659790039,-43.72985458374024
the champion drew the buddy the cup .,DRAW,THE,for,a cousin brought a company a bag .,BRING,A,to,-41.4378662109375,-44.04898071289063,-41.08818435668945,-40.79495620727539
the leader drew the company the telephone .,DRAW,THE,for,an uncle brought a priest an anchor .,BRING,A,to,-45.64179229736328,-46.745582580566406,-44.9681510925293,-45.26161956787109
the manager drew the band the gun .,DRAW,THE,for,a man brought an administration a book .,BRING,A,to,-41.082664489746094,-44.000099182128906,-39.14216613769531,-40.62086868286133
the cop drew the club the coat .,DRAW,THE,for,a girl brought a guy a coffee .,BRING,A,to,-35.093040466308594,-35.059173583984375,-34.67509460449219,-33.59210586547852
the secretary drew the band the card .,DRAW,THE,for,a princess brought an adult a coffee .,BRING,A,to,-47.98857116699219,-46.10693740844727,-44.40571975708008,-42.845245361328125
the husband drew the administration the hat .,DRAW,THE,for,a lady brought an employer a computer .,BRING,A,to,-44.28144836425781,-45.88062286376953,-40.31851959228516,-40.49174118041992
the employee drew the army the button .,DRAW,THE,for,a colonel brought a candidate a television .,BRING,A,to,-45.96122741699219,-47.31074523925781,-46.55888748168945,-46.83329772949219
the employee drew the lawyer the glass .,DRAW,THE,for,a teacher brought a singer an engine .,BRING,A,to,-45.18793869018555,-46.21895980834961,-43.29143524169922,-42.52590560913086
the student drew the company the cup .,DRAW,THE,for,a mayor brought a band an instrument .,BRING,A,to,-43.73383331298828,-47.92167663574219,-41.8087043762207,-44.15517807006836
the princess drew the physician the plate .,DRAW,THE,for,a colonel brought a business a tea .,BRING,A,to,-50.05319213867188,-49.62854766845703,-48.10262298583984,-46.780982971191406
the actress drew the company the card .,DRAW,THE,for,an aunt brought an army a jacket .,BRING,A,to,-47.81243515014648,-49.06284332275391,-47.86460113525391,-47.52351379394531
the mother drew the business the flower .,DRAW,THE,for,a hero brought a wife a chocolate .,BRING,A,to,-43.862586975097656,-44.87664794921875,-42.64889144897461,-42.57432556152344
the president drew the author the iron .,DRAW,THE,for,a soldier brought a scientist a cup .,BRING,A,to,-43.89290237426758,-44.39466094970703,-40.90696334838867,-39.808067321777344
the mother drew the girl the crystal .,DRAW,THE,for,an employee brought a business a camera .,BRING,A,to,-45.40918350219727,-49.825462341308594,-44.82907485961914,-47.807498931884766
