text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to a club .,PD,BRING,A,to,-41.52191162109375,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁a|▁club|.,"[-4.501774787902832, -8.719051361083984, -7.365263938903809, -1.4290258884429932, -6.819332599639893, -0.6046689748764038, -1.3457666635513306, -7.403567314147949, -3.3334567546844482]"
a lady brought a club a pie .,DO,BRING,A,to,-49.8087158203125,▁A|▁lady|▁brought|▁a|▁club|▁a|▁pie|.,"[-4.501774787902832, -8.719051361083984, -7.365262985229492, -1.4290268421173096, -10.718740463256836, -8.001632690429688, -6.8688812255859375, -2.2043442726135254]"
a cousin brought a bag to a company .,PD,BRING,A,to,-46.58721923828125,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁a|▁company|.,"[-4.501774787902832, -10.084877967834473, -6.896322727203369, -2.338346481323242, -4.843161582946777, -4.064462661743164, -2.7600746154785156, -7.109546661376953, -3.9886531829833984]"
a cousin brought a company a bag .,DO,BRING,A,to,-49.79084777832031,▁A|▁cousin|▁brought|▁a|▁company|▁a|▁bag|.,"[-4.501774787902832, -10.084877967834473, -6.896323204040527, -2.3383448123931885, -9.491402626037598, -5.507515907287598, -5.863309860229492, -5.107299327850342]"
an uncle brought an anchor to a priest .,PD,BRING,A,to,-50.37994003295898,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁a|▁priest|.,"[-6.047245979309082, -10.185415267944336, -7.35521125793457, -4.464311122894287, -9.285345077514648, -1.4711203575134277, -2.6179184913635254, -6.585700035095215, -2.367673635482788]"
an uncle brought a priest an anchor .,DO,BRING,A,to,-50.25284194946289,▁An|▁uncle|▁brought|▁a|▁priest|▁an|▁anchor|.,"[-6.047245979309082, -10.185415267944336, -7.355210781097412, -2.1481733322143555, -8.187263488769531, -6.103396415710449, -7.73184871673584, -2.4942872524261475]"
a man brought a book to an administration .,PD,BRING,A,to,-45.516361236572266,▁A|▁man|▁brought|▁a|▁book|▁to|▁an|▁administration|.,"[-4.501774787902832, -5.181676864624023, -7.693386554718018, -1.330020546913147, -6.354743003845215, -1.1102077960968018, -4.061345100402832, -10.688223838806152, -4.594980716705322]"
a man brought an administration a book .,DO,BRING,A,to,-49.5576171875,▁A|▁man|▁brought|▁an|▁administration|▁a|▁book|.,"[-4.501774787902832, -5.181676864624023, -7.693385124206543, -3.766986846923828, -12.053443908691406, -6.4136457443237305, -6.3639936447143555, -3.5827090740203857]"
a girl brought a coffee to a guy .,PD,BRING,A,to,-37.8405876159668,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁a|▁gu|y|.,"[-4.501774787902832, -7.527220249176025, -7.882726192474365, -1.608614206314087, -7.920186519622803, -1.7843118906021118, -1.4156043529510498, -2.647045612335205, -0.0006114759016782045, -2.552493095397949]"
a girl brought a guy a coffee .,DO,BRING,A,to,-38.499549865722656,▁A|▁girl|▁brought|▁a|▁gu|y|▁a|▁coffee|.,"[-4.501774787902832, -7.527220249176025, -7.882726192474365, -1.608614206314087, -5.706393241882324, -0.1363106220960617, -4.858212947845459, -4.154417991638184, -2.1238813400268555]"
