text,structure,verb,det,prep,sen_prob_nospace,tokens,log_prob_tokens
a lady brought a pie to him .,PD,BRING,A,to,-40.20589065551758,▁A|▁lady|▁brought|▁a|▁pie|▁to|▁him|.,"[-4.20621395111084, -8.734609603881836, -6.445747375488281, -1.3401548862457275, -8.830143928527832, -0.5015977025032043, -8.461935997009277, -1.685487151145935]"
a lady brought him a pie .,DO,BRING,A,to,-35.832115173339844,▁A|▁lady|▁brought|▁him|▁a|▁pie|.,"[-4.20621395111084, -8.734609603881836, -6.4457478523254395, -7.145526885986328, -1.1285347938537598, -6.42548942565918, -1.7459903955459595]"
a cousin brought a bag to you .,PD,BRING,A,to,-41.6503791809082,▁A|▁cousin|▁brought|▁a|▁bag|▁to|▁you|.,"[-4.20621395111084, -10.634753227233887, -6.688499927520752, -2.548069953918457, -3.790243148803711, -4.286913871765137, -7.572690010070801, -1.9229962825775146]"
a cousin brought you a bag .,DO,BRING,A,to,-40.007850646972656,▁A|▁cousin|▁brought|▁you|▁a|▁bag|.,"[-4.20621395111084, -10.634753227233887, -6.688499450683594, -6.537848472595215, -1.9233181476593018, -4.421034812927246, -5.596181869506836]"
an uncle brought an anchor to you .,PD,BRING,A,to,-46.95151519775391,▁An|▁uncle|▁brought|▁an|▁anchor|▁to|▁you|.,"[-6.080687522888184, -9.927350044250488, -6.611842155456543, -4.516378402709961, -9.004361152648926, -1.8996355533599854, -7.191493988037109, -1.7197649478912354]"
an uncle brought you an anchor .,DO,BRING,A,to,-43.33810806274414,▁An|▁uncle|▁brought|▁you|▁an|▁anchor|.,"[-6.080687522888184, -9.927350044250488, -6.611840724945068, -5.270688056945801, -4.422579765319824, -8.884222030639648, -2.140744209289551]"
a man brought a book to her .,PD,BRING,A,to,-35.93067932128906,▁A|▁man|▁brought|▁a|▁book|▁to|▁her|.,"[-4.20621395111084, -5.117517471313477, -7.589263916015625, -1.2211852073669434, -8.453474998474121, -1.1585255861282349, -6.047306537628174, -2.137193202972412]"
a man brought her a book .,DO,BRING,A,to,-32.09782028198242,▁A|▁man|▁brought|▁her|▁a|▁book|.,"[-4.20621395111084, -5.117517471313477, -7.589262962341309, -6.182865142822266, -1.8310649394989014, -5.147428512573242, -2.023465156555176]"
a girl brought a coffee to her .,PD,BRING,A,to,-37.76408767700195,▁A|▁girl|▁brought|▁a|▁coffee|▁to|▁her|.,"[-4.20621395111084, -7.445895195007324, -7.604895114898682, -1.5243943929672241, -7.388216972351074, -2.0232932567596436, -1.435477614402771, -6.135699272155762]"
a girl brought her a coffee .,DO,BRING,A,to,-35.97148132324219,▁A|▁girl|▁brought|▁her|▁a|▁coffee|.,"[-4.20621395111084, -7.445895195007324, -7.604894638061523, -1.6954123973846436, -5.936916351318359, -7.170926094055176, -1.911224365234375]"
a princess brought a coffee to us .,PD,BRING,A,to,-46.09066009521485,▁A|▁prin|cess|▁brought|▁a|▁coffee|▁to|▁us|.,"[-4.20621395111084, -10.564468383789062, -0.005489157512784004, -8.303046226501465, -3.7588577270507812, -8.083386421203613, -2.531791925430298, -7.078188419342041, -1.5592166185379028]"
a princess brought us a coffee .,DO,BRING,A,to,-41.023345947265625,▁A|▁prin|cess|▁brought|▁us|▁a|▁coffee|.,"[-4.20621395111084, -10.564468383789062, -0.005489157512784004, -8.303045272827148, -6.20440149307251, -1.954898715019226, -7.211800575256348, -2.5730292797088623]"
a lady brought a computer to him .,PD,BRING,A,to,-38.74617385864258,▁A|▁lady|▁brought|▁a|▁computer|▁to|▁him|.,"[-4.20621395111084, -8.734609603881836, -6.445747375488281, -1.3401548862457275, -8.092212677001953, -1.0095103979110718, -6.76877498626709, -2.148951292037964]"
a lady brought him a computer .,DO,BRING,A,to,-38.71969604492188,▁A|▁lady|▁brought|▁him|▁a|▁computer|.,"[-4.20621395111084, -8.734609603881836, -6.4457478523254395, -7.145526885986328, -1.1285347938537598, -8.829565048217773, -2.2294955253601074]"
a colonel brought a television to me .,PD,BRING,A,to,-46.0372200012207,▁A|▁colon|el|▁brought|▁a|▁television|▁to|▁me|.,"[-4.20621395111084, -10.312420845031738, -2.8497414588928223, -8.080379486083984, -1.8930705785751343, -8.881742477416992, -2.175482749938965, -5.674408435821533, -1.9637597799301147]"
a colonel brought me a television .,DO,BRING,A,to,-42.52254867553711,▁A|▁colon|el|▁brought|▁me|▁a|▁television|.,"[-4.20621395111084, -10.312420845031738, -2.849741220474243, -8.080379486083984, -3.100290536880493, -1.299963355064392, -9.67592716217041, -2.997612953186035]"
