size,prime_verb,pd_bias,pd_bias_ratio,DO-DO,DO-PD,PD-DO,PD-PD
davinci-002,BRING,0.43126910875251173,1.0142351171500723,0.6257861254384668,0.37421387456153316,0.42795250456700684,0.5720474954329932
davinci-002,DRAW,0.57168922332227,0.9918422874977596,0.6948199425208567,0.3051800574791433,0.40558260125252166,0.5944173987474782
davinci-002,FIND,0.4680372939035447,1.0058638609089976,0.6415193114830626,0.3584806885169374,0.40315949906835113,0.5968405009316489
davinci-002,GET,0.33908670939525215,1.027892192420868,0.6337432256588234,0.36625677434117676,0.3994357220790798,0.6005642779209202
davinci-002,GIVE,0.2504103617279631,1.0575089141593121,0.5955246502598122,0.40447534974018795,0.38846929174654515,0.6115307082534549
davinci-002,KEEP,0.6532477716972956,0.9798350696666737,0.6638856361742546,0.3361143638257455,0.40251562250394657,0.5974843774960535
davinci-002,LEAVE,0.44922245523163856,1.0078410472725132,0.6321892251306016,0.36781077486939834,0.40194093870692704,0.598059061293073
davinci-002,MAKE,0.4384916515978105,1.011870118768117,0.6198869682924121,0.3801130317075879,0.40743408127164304,0.5925659187283568
davinci-002,PURCHASE,0.6568389198346635,0.979434764410668,0.6471810540029578,0.35281894599704205,0.412403007554625,0.5875969924453751
davinci-002,SAVE,0.47790378517825577,1.0053075521297206,0.6296714642206253,0.37032853577937475,0.40964638837228123,0.5903536116277187
davinci-002,SELL,0.4319002820206445,1.013406439565693,0.6070566324639434,0.3929433675360566,0.39453713578513133,0.6054628642148687
davinci-002,SEND,0.3723030515687929,1.0263709418594347,0.6097565823636266,0.39024341763637355,0.40657230014547424,0.5934276998545258
davinci-002,SHOW,0.23460727013924712,1.059054166698553,0.581476354179059,0.418523645820941,0.41238964407475887,0.5876103559252411
davinci-002,SUPPLY,0.4215393687622112,1.0142595203791742,0.6388577969098462,0.36114220309015366,0.41674056347764504,0.5832594365223549
davinci-002,DESIGN,0.7856908523956586,0.9569413617497979,0.6618134570156378,0.3381865429843622,0.42944112176010224,0.5705588782398978
davinci-002,TAKE,0.6771106788719891,0.9737586500455518,0.671075944348236,0.32892405565176397,0.4562328110790004,0.5437671889209997
davinci-002,FEED,0.24325010082044854,1.0474235237971858,0.5999918201246578,0.4000081798753422,0.4063400942500765,0.5936599057499236
davinci-002,BUY,0.3352068191036314,1.0301334641554312,0.6207932954416648,0.3792067045583352,0.3857162107946473,0.6142837892053526
davinci-002,CATCH,0.44900392116635485,1.009579570899857,0.659736794104487,0.34026320589551284,0.3790030588108283,0.6209969411891717
davinci-002,DELIVER,0.2844162819198192,1.0317399994417424,0.6321220122472073,0.3678779877527927,0.3796597350667731,0.6203402649332271
davinci-002,THROW,0.46867790735236237,1.0066353244509834,0.6488315611292036,0.3511684388707964,0.3984637237031576,0.6015362762968424
davinci-002,PROMISE,0.18045407392219442,1.0685966764588868,0.595874583377304,0.4041254166226959,0.4027875845316074,0.5972124154683927
