size,target_verb,PD-PD_slope,PD-PD_intercept,DO-PD_slope,DO-PD_intercept,PD-PD_R2,PD-PD_RMSE,DO-PD_R2,DO-PD_RMSE
davinci-002,BRING,-0.07972615327141555,0.6066607540130877,-0.000873752920963367,0.38187840493509156,0.04737800798107439,0.05642912031424127,2.499769414388009e-05,0.027584416641607223
davinci-002,DRAW,0.05264603313931098,0.7108035591876175,-0.2172425738024797,0.5796648040298413,0.029979911668127524,0.04640753010306226,0.37645969607530716,0.043327693810602884
davinci-002,FIND,0.12544091931723442,0.5519832894362764,-0.1376986490891754,0.36926779109864116,0.060098824518959426,0.07823160219564541,0.36692014886922475,0.028523842772453185
davinci-002,GET,0.10674812746097924,0.5050674660231146,-0.0789270362589727,0.3305669001734138,0.09319657178749652,0.05205105520747916,0.17709310652382215,0.0265957953131438
davinci-002,GIVE,-0.0892345635252419,0.48040525421875974,0.006364340086063865,0.2826307925905615,0.13136583592711926,0.03493143802320002,0.0036915085573107076,0.01591675308977503
davinci-002,KEEP,0.008095015349742692,0.7567414776604906,-0.2653382344501692,0.6235323915627698,0.0006252528902582766,0.04864229355793924,0.3333550582362883,0.05639669327725989
davinci-002,LEAVE,0.002541488198817095,0.622464814505065,-0.1706500462961833,0.4513244327188468,6.257636965123492e-05,0.0507053433138573,0.5850772000808486,0.022681296403405146
davinci-002,MAKE,0.19108591282102222,0.5123485854890486,-0.10655295662581525,0.4204700000299688,0.15925190055878446,0.0693050689332509,0.19807551517821675,0.033842507843226635
davinci-002,PURCHASE,-0.036534235403006356,0.7859607673966369,-0.28675892806127756,0.6446458386434774,0.017468531992461678,0.04111059972813185,0.3878107408539071,0.05405783453474861
davinci-002,SAVE,0.06937790533237388,0.6238354544416854,-0.20655230486632215,0.4721173794949576,0.03815657517155202,0.05489296111750776,0.38642323633720366,0.04101671352359539
davinci-002,SELL,-0.1983575836997945,0.6836312028863306,0.05076016541006502,0.36464641210200477,0.36560201927751645,0.04124384154885921,0.13852176507385905,0.01998112203869726
davinci-002,SEND,-0.13041178937779824,0.6254724025435704,-0.014281864307402197,0.39314513726156625,0.14549699021034113,0.04967628534675219,0.009441360688031586,0.02299376923279638
davinci-002,SHOW,-0.09962884931482764,0.445840393671228,0.050735385705401544,0.2109757832238437,0.11840564909233964,0.04110952943533173,0.15709168334778734,0.017771895153675298
davinci-002,SUPPLY,-0.18170653815986276,0.662356690563114,-0.037020796887440165,0.3421735628000286,0.16154603635454245,0.06532816596653031,0.04206636512941564,0.0278794649294495
davinci-002,DESIGN,0.019912604719225898,0.8559237684388912,-0.23894573024742682,0.7546046550885661,0.007033147086747404,0.03249432060789255,0.30229748737514317,0.04985445948962859
davinci-002,TAKE,-0.12870877270511846,0.8108265867038988,-0.21632895920743817,0.6456630289281619,0.2172116720200833,0.03628019427584908,0.29787316381095985,0.04931597474897674
davinci-002,FEED,-0.21702983988287805,0.5244657351903678,-0.09337446897238018,0.26513224638482435,0.24915015368347793,0.05718641302460575,0.20340785650217164,0.028047214177463496
davinci-002,BUY,0.06245762142338578,0.4841735710796647,-0.10689359397674135,0.31260092976073467,0.029074457067607584,0.05637551159774888,0.16587682049888952,0.03744051566382029
davinci-002,CATCH,0.164211557367663,0.5477620708941903,-0.29642012447371313,0.46870003301936247,0.07281462902728719,0.09248351616888782,0.4975546202719092,0.04701304493314909
davinci-002,DELIVER,0.2619210395485998,0.3563494975566151,0.012800413121396858,0.20183957508116104,0.15687858972133928,0.0935781088541857,0.004074441699665532,0.030842106247564425
davinci-002,THROW,-0.16616216786692056,0.674943294157034,-0.06574335110297772,0.43816794875957843,0.1644738266514394,0.059058352872713986,0.1941868154283145,0.021119162980977792
davinci-002,PROMISE,-0.15989224253448217,0.433205917025563,0.0183575976651232,0.17083421454640485,0.18195615431412004,0.04985644762908192,0.021399345123134128,0.018256073602492758
