size,pronoun,prime_verb,pd_bias,pd_bias_ratio,target_verb,DO-DO,DO-PD,PD-DO,PD-PD
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,DRAW,0.6730953751386722,0.3269046248613279,0.523525000191934,0.47647499980806607
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,FIND,0.7461358484552477,0.25386415154475234,0.6080646659388923,0.39193533406110764
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,GET,0.8796853768609327,0.12031462313906716,0.7727309529746809,0.2272690470253192
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,GIVE,0.9693616866133072,0.03063831338669275,0.8828602280329233,0.11713977196707667
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,KEEP,0.48496967116228296,0.515030328837717,0.4069527906708813,0.5930472093291187
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,LEAVE,0.7264870139363029,0.2735129860636971,0.6176022484505431,0.3823977515494568
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,MAKE,0.7013074837001372,0.2986925162998628,0.6185629952493259,0.38143700475067405
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,PURCHASE,0.5145091624501813,0.48549083754981853,0.375301870737933,0.6246981292620669
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,SAVE,0.6493355559481587,0.3506644440518413,0.5327622321132044,0.4672377678867956
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,SELL,0.9275427920725664,0.07245720792743354,0.7190206717414265,0.2809793282585736
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,SEND,0.9085880311945457,0.09141196880545448,0.629986010212433,0.3700139897875671
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,SHOW,0.9797897815922219,0.020210218407778226,0.9196111478371957,0.08038885216280436
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,SUPPLY,0.9227993993199186,0.07720060068008147,0.6808363106653058,0.3191636893346941
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,DESIGN,0.3749588818103404,0.6250411181896596,0.2156274753062123,0.7843725246937876
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,TAKE,0.6855295026118559,0.3144704973881441,0.3384940152804682,0.6615059847195317
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,FEED,0.8882518425625148,0.11174815743748516,0.7294923874857814,0.2705076125142186
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,BUY,0.9043982477959982,0.09560175220400179,0.739045458539837,0.260954541460163
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,CATCH,0.7173191420192272,0.28268085798077286,0.6779697929154521,0.3220302070845479
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,DELIVER,0.9098775852334865,0.09012241476651336,0.8330053464636421,0.16699465353635795
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,THROW,0.8358150932655078,0.164184906734492,0.5961507313252271,0.4038492686747729
davinci-002,True,BRING,0.21826547328360832,1.0486924837785436,PROMISE,0.96859290021807,0.031407099781930056,0.8850787692269259,0.11492123077307408
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,BRING,0.8866190749023432,0.11338092509765708,0.7792897247533367,0.22071027524666328
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,FIND,0.8118292052448115,0.18817079475518855,0.49939710889943045,0.5006028911005695
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,GET,0.8762114650474527,0.12378853495254724,0.7032451553480986,0.2967548446519014
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,GIVE,0.9723249079210646,0.027675092078935606,0.9183638642132963,0.08163613578670376
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,KEEP,0.6663736211442847,0.3336263788557154,0.37679703402133113,0.6232029659786689
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,LEAVE,0.8091958694963212,0.19080413050367884,0.6022072813711873,0.3977927186288127
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,MAKE,0.7936995722974208,0.20630042770257917,0.4484351400844918,0.5515648599155082
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,PURCHASE,0.606327430633786,0.3936725693662141,0.2985737349246896,0.7014262650753105
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,SAVE,0.7778487779282858,0.22215122207171412,0.487806756671831,0.5121932433281691
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,SELL,0.9329562808425306,0.06704371915746937,0.7873931074779178,0.21260689252208226
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,SEND,0.8954819525474775,0.1045180474525223,0.7982777254370511,0.20172227456294897
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,SHOW,0.9836652226171949,0.01633477738280501,0.946003285584643,0.053996714415357035
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,SUPPLY,0.9323827981895557,0.06761720181044423,0.8073121012562362,0.19268789874376374
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,DESIGN,0.5176676338140656,0.4823323661859345,0.15448915228036514,0.8455108477196349
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,TAKE,0.7240901646680896,0.27590983533191044,0.46267563304528636,0.5373243669547136
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,FEED,0.9598551674355881,0.040144832564412106,0.8801982738981754,0.1198017261018247
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,BUY,0.8725474750438568,0.12745252495614334,0.6762356352149063,0.32376436478509374
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,CATCH,0.775038746210524,0.22496125378947596,0.3725969408613781,0.6274030591386218
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,DELIVER,0.9262119216817146,0.07378807831828542,0.679149250808578,0.3208507491914221
davinci-002,True,DRAW,0.4747124391755122,1.004019033862569,THROW,0.8940650000011746,0.10593499999882539,0.6977549523631432,0.3022450476368567
