prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a kid brought a juice to an administration .,the leader gave the log to the corporation .,PD,PD,BRING,GIVE,A,THE,to,to,-50.25201416015625,"[-3.2373369, -7.6597137, -13.767928, -2.2590485, -10.096307, -1.4758366, -1.0073763, -9.557982, -1.1904863]"
a kid brought a juice to an administration .,the leader gave the corporation the log .,PD,DO,BRING,GIVE,A,THE,to,to,-51.37812042236328,"[-3.2373369, -7.6597137, -13.767928, -2.2590485, -11.849125, -2.2823257, -7.6294656, -2.6931777]"
a kid brought a juice to an administration .,the wife kept the chicken for the army .,PD,PD,BRING,KEEP,A,THE,to,for,-46.27915954589844,"[-3.2373369, -8.861718, -10.11473, -2.1104798, -7.9120407, -3.3920822, -1.9420596, -7.490587, -1.2181227]"
a kid brought a juice to an administration .,the wife kept the army the chicken .,PD,DO,BRING,KEEP,A,THE,to,for,-52.2818603515625,"[-3.2373369, -8.861718, -10.11473, -2.1104798, -8.756245, -7.047414, -10.357082, -1.7968566]"
a kid brought a juice to an administration .,the son supplied the beer to the sheriff .,PD,PD,BRING,SUPPLY,A,THE,to,to,-41.04603958129883,"[-3.2373369, -8.127443, -12.945289, -0.9997119, -6.9417353, -0.93252766, -0.86407155, -5.791811, -1.2061132]"
a kid brought a juice to an administration .,the son supplied the sheriff the beer .,PD,DO,BRING,SUPPLY,A,THE,to,to,-48.35590744018555,"[-3.2373369, -8.127443, -12.945289, -0.9997119, -10.940189, -3.9931269, -6.827323, -1.2854873]"
a kid brought a juice to an administration .,the worker bought the beer for the adult .,PD,PD,BRING,BUY,A,THE,to,for,-43.761680603027344,"[-3.2373369, -10.045282, -8.697714, -1.392394, -5.8969398, -2.5981274, -1.9682279, -8.380529, -1.5451258]"
a kid brought a juice to an administration .,the worker bought the adult the beer .,PD,DO,BRING,BUY,A,THE,to,for,-47.32951736450195,"[-3.2373369, -10.045282, -8.697714, -1.392394, -10.1047535, -5.53708, -6.4397306, -1.8752259]"
a kid brought a nurse a tea .,the hero found the flower for the adult .,DO,PD,BRING,FIND,A,THE,to,for,-47.48993682861328,"[-3.2221816, -9.372644, -6.462764, -2.1453605, -7.5889826, -5.2754717, -1.7645733, -10.02195, -1.6360073]"
a kid brought a nurse a tea .,the hero found the adult the flower .,DO,DO,BRING,FIND,A,THE,to,for,-46.528419494628906,"[-3.2221816, -9.372644, -6.462764, -2.1453605, -9.819029, -5.6194057, -8.291862, -1.5951722]"
a kid brought a nurse a tea .,the president sold the machine to the girl .,DO,PD,BRING,SELL,A,THE,to,to,-44.99992370605469,"[-3.2221816, -6.8798184, -10.058503, -1.6748009, -9.522545, -0.9188989, -1.9394857, -8.659039, -2.1246533]"
a kid brought a nurse a tea .,the president sold the girl the machine .,DO,DO,BRING,SELL,A,THE,to,to,-45.51921844482422,"[-3.2221816, -6.8798184, -10.058503, -1.6748009, -8.984442, -3.5196097, -10.033999, -1.1458634]"
a kid brought a tea to a corporation .,the worker gave the juice to the student .,PD,PD,BRING,GIVE,A,THE,to,to,-40.73633575439453,"[-3.2361588, -10.090288, -6.9637933, -1.6945901, -9.738548, -0.26688167, -1.013493, -6.630481, -1.1021017]"
a kid brought a tea to a corporation .,the worker gave the student the juice .,PD,DO,BRING,GIVE,A,THE,to,to,-40.78789520263672,"[-3.2361588, -10.090288, -6.9637933, -1.6945901, -6.3731127, -2.6723647, -8.276904, -1.480684]"
a kid brought a tea to a corporation .,the aunt saved the meal for the army .,PD,PD,BRING,SAVE,A,THE,to,for,-51.91522979736328,"[-3.2361588, -12.221256, -13.231515, -1.2951217, -9.797045, -1.1728225, -1.3946061, -8.4561825, -1.1105232]"
a kid brought a tea to a corporation .,the aunt saved the army the meal .,PD,DO,BRING,SAVE,A,THE,to,for,-59.2332763671875,"[-3.2361588, -12.221256, -13.231515, -1.2951217, -10.045088, -6.3692865, -11.3834305, -1.4514185]"
a kid brought a tea to a nurse .,the hero found the flower for the adult .,PD,PD,BRING,FIND,A,THE,to,for,-47.0700798034668,"[-3.2201269, -9.438629, -6.433091, -2.101143, -7.32786, -5.289048, -1.595317, -10.093829, -1.571036]"
a kid brought a tea to a nurse .,the hero found the adult the flower .,PD,DO,BRING,FIND,A,THE,to,for,-47.34619903564453,"[-3.2201269, -9.438629, -6.433091, -2.101143, -9.81243, -5.6814003, -8.693844, -1.9655349]"
a kid brought a tea to a nurse .,the president sold the machine to the girl .,PD,PD,BRING,SELL,A,THE,to,to,-44.377838134765625,"[-3.2201269, -6.8248672, -10.160954, -1.5720645, -9.516905, -0.56974256, -1.8588706, -8.539793, -2.1145163]"
a kid brought a tea to a nurse .,the president sold the girl the machine .,PD,DO,BRING,SELL,A,THE,to,to,-46.087738037109375,"[-3.2201269, -6.8248672, -10.160954, -1.5720645, -9.2155, -3.8795955, -9.608583, -1.6060452]"
a kid brought a television to an attorney .,the cop saved the beer for the adult .,PD,PD,BRING,SAVE,A,THE,to,for,-48.35926818847656,"[-3.2097445, -9.845919, -8.806192, -1.1935064, -10.581346, -3.5699615, -1.3950517, -8.809632, -0.94791347]"
a kid brought a television to an attorney .,the cop saved the adult the beer .,PD,DO,BRING,SAVE,A,THE,to,for,-52.86790466308594,"[-3.2097445, -9.845919, -8.806192, -1.1935064, -10.611965, -6.803976, -11.096404, -1.3001982]"
a kid brought an administration a juice .,the leader gave the log to the corporation .,DO,PD,BRING,GIVE,A,THE,to,to,-51.997650146484375,"[-3.1909375, -7.633922, -13.791909, -2.2410383, -10.262041, -2.5764215, -1.1380118, -9.627537, -1.5358331]"
a kid brought an administration a juice .,the leader gave the corporation the log .,DO,DO,BRING,GIVE,A,THE,to,to,-52.504844665527344,"[-3.1909375, -7.633922, -13.791909, -2.2410383, -11.737337, -2.3532135, -8.190628, -3.3658583]"
a kid brought an administration a juice .,the wife kept the chicken for the army .,DO,PD,BRING,KEEP,A,THE,to,for,-47.77129364013672,"[-3.1909375, -8.849594, -10.652716, -2.0736609, -7.959949, -3.5341046, -2.1730757, -8.075518, -1.261738]"
a kid brought an administration a juice .,the wife kept the army the chicken .,DO,DO,BRING,KEEP,A,THE,to,for,-51.51074981689453,"[-3.1909375, -8.849594, -10.652716, -2.0736609, -8.722309, -6.825471, -9.8584175, -1.3376471]"
