prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the secretary brought the priest the telephone .,a winner got a pie for an army .,DO,PD,BRING,GET,THE,A,to,for,-51.62523651123047,"[-3.6027334, -10.585679, -8.438983, -1.3172941, -8.718183, -2.7941957, -5.3218946, -7.4259377, -3.420337]"
the secretary brought the priest the telephone .,a winner got an army a pie .,DO,DO,BRING,GET,THE,A,to,for,-53.48223114013672,"[-3.6027334, -10.585679, -8.438983, -3.435811, -6.9588475, -8.69799, -10.397331, -1.364857]"
the secretary brought the priest the telephone .,a singer made a ball for a mayor .,DO,PD,BRING,MAKE,THE,A,to,for,-48.369510650634766,"[-3.6027334, -10.070802, -5.986568, -1.2165675, -9.506373, -5.541403, -1.7014081, -9.147826, -1.5958289]"
the secretary brought the priest the telephone .,a singer made a mayor a ball .,DO,DO,BRING,MAKE,THE,A,to,for,-50.00563049316406,"[-3.6027334, -10.070802, -5.986568, -1.2165675, -13.58758, -2.918428, -10.148108, -2.4748461]"
the secretary brought the priest the telephone .,a sheriff saved a computer for a company .,DO,PD,BRING,SAVE,THE,A,to,for,-49.45526885986328,"[-3.6027334, -7.956151, -10.232648, -1.2681875, -8.897006, -4.1533976, -2.1037307, -7.799706, -3.4417057]"
the secretary brought the priest the telephone .,a sheriff saved a company a computer .,DO,DO,BRING,SAVE,THE,A,to,for,-51.152137756347656,"[-3.6027334, -7.956151, -10.232648, -1.2681875, -9.737092, -5.4820004, -9.3424835, -3.530841]"
the secretary brought the priest the telephone .,a guest showed a ball to a mayor .,DO,PD,BRING,SHOW,THE,A,to,to,-50.57140350341797,"[-3.6027334, -7.9388943, -9.525428, -3.1726425, -9.238738, -3.8322415, -2.6336217, -9.232398, -1.3947041]"
the secretary brought the priest the telephone .,a guest showed a mayor a ball .,DO,DO,BRING,SHOW,THE,A,to,to,-48.935874938964844,"[-3.6027334, -7.9388943, -9.525428, -3.1726425, -11.854611, -1.7792867, -9.065502, -1.996777]"
the secretary brought the soldier the beer .,a woman bought a salad for a lady .,DO,PD,BRING,BUY,THE,A,to,for,-38.627037048339844,"[-3.5705562, -3.8236449, -8.917143, -0.59125274, -8.557962, -2.2311606, -1.8941761, -7.464146, -1.5769972]"
the secretary brought the soldier the beer .,a woman bought a lady a salad .,DO,DO,BRING,BUY,THE,A,to,for,-35.888465881347656,"[-3.5705562, -3.8236449, -8.917143, -0.59125274, -9.807397, -0.55774295, -7.5565925, -1.0641377]"
the secretary brought the soldier the chocolate .,a princess purchased a chicken for a professor .,DO,PD,BRING,PURCHASE,THE,A,to,for,-47.69060516357422,"[-3.5857346, -10.715626, -9.779534, -0.77921283, -6.787915, -3.0932279, -2.3238072, -9.469381, -1.1561643]"
the secretary brought the soldier the chocolate .,a princess purchased a professor a chicken .,DO,DO,BRING,PURCHASE,THE,A,to,for,-48.86032485961914,"[-3.5857346, -10.715626, -9.779534, -0.77921283, -12.327958, -2.7678864, -7.4593267, -1.4450474]"
the secretary brought the soldier the chocolate .,a princess sent a salad to a club .,DO,PD,BRING,SEND,THE,A,to,to,-46.39196014404297,"[-3.5857346, -10.715626, -6.59656, -1.3691456, -11.563727, -0.95787126, -1.854078, -8.359816, -1.3894006]"
the secretary brought the soldier the chocolate .,a princess sent a club a salad .,DO,DO,BRING,SEND,THE,A,to,to,-45.10221481323242,"[-3.5857346, -10.715626, -6.59656, -1.3691456, -9.48069, -3.232944, -9.069038, -1.0524737]"
the secretary brought the soldier the jacket .,a leader fed a chicken to a wife .,DO,PD,BRING,FEED,THE,A,to,to,-45.249366760253906,"[-3.5656545, -7.724474, -11.787871, -2.330287, -4.653452, -3.0550897, -0.77199715, -9.569694, -1.790848]"
