prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
the secretary brought the priest the telephone .,a winner got a pie for an army .,DO,PD,BRING,GET,THE,A,to,for,-51.4687614440918,"[-3.851843, -10.332169, -8.501311, -1.4540771, -8.839695, -2.7452908, -5.197848, -7.430599, -3.1159282]"
the secretary brought the priest the telephone .,a winner got an army a pie .,DO,DO,BRING,GET,THE,A,to,for,-53.838279724121094,"[-3.851843, -10.332169, -8.501311, -3.5020213, -7.139596, -8.671335, -10.3314705, -1.5085347]"
the secretary brought the priest the telephone .,a singer made a ball for a mayor .,DO,PD,BRING,MAKE,THE,A,to,for,-48.85573959350586,"[-3.851843, -9.991425, -5.9820633, -1.4043553, -9.579443, -5.54444, -1.7253916, -9.0263405, -1.7504389]"
the secretary brought the priest the telephone .,a singer made a mayor a ball .,DO,DO,BRING,MAKE,THE,A,to,for,-50.39238357543945,"[-3.851843, -9.991425, -5.9820633, -1.4043553, -13.444288, -3.1488445, -10.098533, -2.4710321]"
the secretary brought the priest the telephone .,a sheriff saved a computer for a company .,DO,PD,BRING,SAVE,THE,A,to,for,-50.25177001953125,"[-3.851843, -8.3625145, -10.459645, -1.342749, -8.928197, -4.080386, -2.0703013, -7.667902, -3.4882343]"
the secretary brought the priest the telephone .,a sheriff saved a company a computer .,DO,DO,BRING,SAVE,THE,A,to,for,-52.559288024902344,"[-3.851843, -8.3625145, -10.459645, -1.342749, -9.5978775, -5.8435793, -9.490704, -3.6103764]"
the secretary brought the priest the telephone .,a guest showed a ball to a mayor .,DO,PD,BRING,SHOW,THE,A,to,to,-50.89094161987305,"[-3.851843, -8.031577, -9.644714, -3.1637015, -8.788051, -3.829411, -2.5077486, -9.550535, -1.5233592]"
the secretary brought the priest the telephone .,a guest showed a mayor a ball .,DO,DO,BRING,SHOW,THE,A,to,to,-49.823448181152344,"[-3.851843, -8.031577, -9.644714, -3.1637015, -11.898007, -2.2075102, -8.72568, -2.300415]"
the secretary brought the soldier the beer .,a woman bought a salad for a lady .,DO,PD,BRING,BUY,THE,A,to,for,-39.53019714355469,"[-3.8399084, -4.032782, -8.61342, -0.67111725, -8.824924, -2.3171396, -2.019403, -7.4441395, -1.7673649]"
the secretary brought the soldier the beer .,a woman bought a lady a salad .,DO,DO,BRING,BUY,THE,A,to,for,-36.55624771118164,"[-3.8399084, -4.032782, -8.61342, -0.67111725, -9.854484, -0.9785917, -7.178664, -1.3872827]"
the secretary brought the soldier the chocolate .,a princess purchased a chicken for a professor .,DO,PD,BRING,PURCHASE,THE,A,to,for,-48.84027099609375,"[-3.8442714, -10.614031, -9.99232, -0.8784512, -6.9970045, -3.307622, -2.3198102, -9.6388035, -1.2479558]"
the secretary brought the soldier the chocolate .,a princess purchased a professor a chicken .,DO,DO,BRING,PURCHASE,THE,A,to,for,-50.337501525878906,"[-3.8442714, -10.614031, -9.99232, -0.8784512, -12.054613, -3.6903172, -7.4801054, -1.7833898]"
the secretary brought the soldier the chocolate .,a princess sent a salad to a club .,DO,PD,BRING,SEND,THE,A,to,to,-46.639930725097656,"[-3.8442714, -10.614031, -6.61918, -1.6431525, -11.535808, -1.0890621, -1.9011713, -7.949355, -1.4438996]"
the secretary brought the soldier the chocolate .,a princess sent a club a salad .,DO,DO,BRING,SEND,THE,A,to,to,-46.33625030517578,"[-3.8442714, -10.614031, -6.61918, -1.6431525, -9.319804, -3.8368158, -9.185624, -1.2733707]"
the secretary brought the soldier the jacket .,a leader fed a chicken to a wife .,DO,PD,BRING,FEED,THE,A,to,to,-45.68125534057617,"[-3.8423405, -7.950433, -11.421441, -2.4897432, -4.8113947, -3.0949838, -0.8322651, -9.245026, -1.9936296]"
the secretary brought the soldier the jacket .,a leader fed a wife a chicken .,DO,DO,BRING,FEED,THE,A,to,to,-43.41740417480469,"[-3.8423405, -7.950433, -11.421441, -2.4897432, -8.835233, -1.8106823, -4.7046614, -2.3628724]"
the secretary brought the tea to the corporation .,a champion found a beer for a band .,PD,PD,BRING,FIND,THE,A,to,for,-50.399078369140625,"[-3.8414643, -9.448929, -9.050333, -2.348188, -9.119883, -4.0578647, -3.0992475, -7.592769, -1.8403965]"
the secretary brought the tea to the corporation .,a champion found a band a beer .,PD,DO,BRING,FIND,THE,A,to,for,-51.103660583496094,"[-3.8414643, -9.448929, -9.050333, -2.348188, -8.842752, -7.24311, -7.7076993, -2.6211827]"
the secretary brought the telephone to the priest .,a winner got a pie for an army .,PD,PD,BRING,GET,THE,A,to,for,-49.973602294921875,"[-3.874077, -10.323148, -8.416898, -1.373369, -8.570015, -2.8358002, -5.023282, -7.2607546, -2.2962584]"
the secretary brought the telephone to the priest .,a winner got an army a pie .,PD,DO,BRING,GET,THE,A,to,for,-54.02978515625,"[-3.874077, -10.323148, -8.416898, -3.4790313, -7.2593246, -8.78863, -10.353303, -1.5353739]"
the secretary brought the telephone to the priest .,a singer made a ball for a mayor .,PD,PD,BRING,MAKE,THE,A,to,for,-47.47099685668945,"[-3.874077, -10.042191, -5.9946547, -1.3383557, -8.467855, -5.475049, -1.578229, -9.279786, -1.4208006]"
the secretary brought the telephone to the priest .,a singer made a mayor a ball .,PD,DO,BRING,MAKE,THE,A,to,for,-51.239112854003906,"[-3.874077, -10.042191, -5.9946547, -1.3383557, -13.793116, -4.167598, -9.173531, -2.8555956]"
the secretary brought the telephone to the priest .,a sheriff saved a computer for a company .,PD,PD,BRING,SAVE,THE,A,to,for,-49.52949142456055,"[-3.874077, -8.664773, -10.229268, -1.2288167, -8.997797, -3.9502797, -1.7385986, -7.627142, -3.2187395]"
the secretary brought the telephone to the priest .,a sheriff saved a company a computer .,PD,DO,BRING,SAVE,THE,A,to,for,-52.85493850708008,"[-3.874077, -8.664773, -10.229268, -1.2288167, -9.542158, -6.5350356, -9.734917, -3.0458922]"
the secretary brought the telephone to the priest .,a guest showed a ball to a mayor .,PD,PD,BRING,SHOW,THE,A,to,to,-48.99241256713867,"[-3.874077, -7.974104, -9.782631, -2.8373666, -8.3132305, -3.0738187, -2.1841085, -9.759803, -1.1932745]"
