prime_sentence,target_sentence,prime_structure,target_structure,prime_verb,target_verb,prime_det,target_det,prime_prep,target_prep,log_prob,probs
a parent sold a father a beer .,the manager took the bottle to the employee .,DO,PD,SELL,TAKE,A,THE,to,to,-40.72338104248047,"[-3.1178946, -8.521815, -6.347882, -1.6245632, -8.509281, -2.2072134, -0.7321919, -7.5086336, -2.1539035]"
a parent sold a father a beer .,the manager took the employee the bottle .,DO,DO,SELL,TAKE,A,THE,to,to,-45.790042877197266,"[-3.1178946, -8.521815, -6.347882, -1.6245632, -9.496549, -6.243186, -8.559314, -1.8788409]"
a parent sold a jacket to a leader .,the hero supplied the bell to the pilot .,PD,PD,SELL,SUPPLY,A,THE,to,to,-46.65131378173828,"[-3.1361763, -9.946726, -12.481622, -1.3061576, -9.412275, -1.8560497, -0.53450346, -6.9991736, -0.97863203]"
a parent sold a jacket to a leader .,the hero supplied the pilot the bell .,PD,DO,SELL,SUPPLY,A,THE,to,to,-48.291847229003906,"[-3.1361763, -9.946726, -12.481622, -1.3061576, -8.083391, -2.6860442, -9.339232, -1.3124988]"
a parent sold a jacket to a leader .,the sheriff promised the beer to the hero .,PD,PD,SELL,PROMISE,A,THE,to,to,-47.433570861816406,"[-3.1361763, -9.405046, -8.450094, -2.8449364, -11.022828, -2.1552095, -1.0324441, -8.273552, -1.1132818]"
a parent sold a jacket to a leader .,the sheriff promised the hero the beer .,PD,DO,SELL,PROMISE,A,THE,to,to,-47.4478759765625,"[-3.1361763, -9.405046, -8.450094, -2.8449364, -9.09097, -3.500013, -9.430929, -1.5897096]"
a parent sold a leader a jacket .,the hero supplied the bell to the pilot .,DO,PD,SELL,SUPPLY,A,THE,to,to,-48.393428802490234,"[-3.1108146, -9.910512, -12.588566, -1.5193622, -9.878132, -2.233978, -0.67332035, -7.326036, -1.152708]"
a parent sold a leader a jacket .,the hero supplied the pilot the bell .,DO,DO,SELL,SUPPLY,A,THE,to,to,-47.920265197753906,"[-3.1108146, -9.910512, -12.588566, -1.5193622, -7.5024533, -2.4733543, -9.6082, -1.2070034]"
a parent sold a leader a jacket .,the sheriff promised the beer to the hero .,DO,PD,SELL,PROMISE,A,THE,to,to,-48.830474853515625,"[-3.1108146, -9.295126, -8.24905, -2.7252717, -11.1931715, -3.1553636, -1.1443154, -8.639612, -1.3177505]"
a parent sold a leader a jacket .,the sheriff promised the hero the beer .,DO,DO,SELL,PROMISE,A,THE,to,to,-46.13079833984375,"[-3.1108146, -9.295126, -8.24905, -2.7252717, -9.023991, -3.1637585, -9.262914, -1.2998757]"
a parent sold a pilot a box .,the bishop brought the pie to the club .,DO,PD,SELL,BRING,A,THE,to,to,-45.702449798583984,"[-3.121131, -10.48727, -8.869744, -1.6252105, -9.856493, -0.9588468, -0.62162155, -8.778053, -1.3840792]"
a parent sold a pilot a box .,the bishop brought the club the pie .,DO,DO,SELL,BRING,A,THE,to,to,-48.630455017089844,"[-3.121131, -10.48727, -8.869744, -1.6252105, -9.983689, -3.8892293, -9.671328, -0.98285097]"
a parent sold a pilot a box .,the husband got the cigarette for the bishop .,DO,PD,SELL,GET,A,THE,to,for,-51.25541687011719,"[-3.121131, -9.192659, -7.967515, -2.1119928, -9.51184, -5.4066143, -1.6050134, -11.349096, -0.98955435]"
a parent sold a pilot a box .,the husband got the bishop the cigarette .,DO,DO,SELL,GET,A,THE,to,for,-47.29084396362305,"[-3.121131, -9.192659, -7.967515, -2.1119928, -10.642302, -3.1840394, -9.960736, -1.1104666]"
a parent sold a pilot a box .,the chief sent the meal to the son .,DO,PD,SELL,SEND,A,THE,to,to,-45.62672424316406,"[-3.121131, -7.2808714, -10.231266, -1.9417164, -11.35693, -0.7511946, -1.0288687, -7.0717554, -2.8429933]"
a parent sold a pilot a box .,the chief sent the son the meal .,DO,DO,SELL,SEND,A,THE,to,to,-48.83817672729492,"[-3.121131, -7.2808714, -10.231266, -1.9417164, -8.254663, -6.193933, -10.484645, -1.3299502]"
a parent supplied a cheese to a company .,the man drew the coat for the band .,PD,PD,SUPPLY,DRAW,A,THE,to,for,-43.308799743652344,"[-3.1734643, -6.0726953, -9.407112, -2.1515858, -8.578632, -4.5487785, -1.1270273, -6.6805882, -1.5689197]"
a parent supplied a cheese to a company .,the man drew the band the coat .,PD,DO,SUPPLY,DRAW,A,THE,to,for,-46.24809265136719,"[-3.1734643, -6.0726953, -9.407112, -2.1515858, -8.286329, -5.182311, -9.472152, -2.502441]"
a parent supplied a company a cheese .,the man drew the coat for the band .,DO,PD,SUPPLY,DRAW,A,THE,to,for,-44.15882873535156,"[-3.1574836, -6.101622, -9.385935, -2.109171, -8.393673, -4.87344, -1.1680998, -7.2719526, -1.6974512]"
a parent supplied a company a cheese .,the man drew the band the coat .,DO,DO,SUPPLY,DRAW,A,THE,to,for,-43.70662307739258,"[-3.1574836, -6.101622, -9.385935, -2.109171, -8.11142, -4.183173, -8.6045, -2.0533175]"
a parent supplied a guest a wire .,the child purchased the chocolate for the wife .,DO,PD,SUPPLY,PURCHASE,A,THE,to,for,-47.471397399902344,"[-3.1613567, -8.329896, -12.1598, -1.379, -8.621996, -3.5718675, -1.9403683, -6.9471626, -1.3599538]"
a parent supplied a guest a wire .,the child purchased the wife the chocolate .,DO,DO,SUPPLY,PURCHASE,A,THE,to,for,-47.25102996826172,"[-3.1613567, -8.329896, -12.1598, -1.379, -8.66885, -4.047096, -7.9325476, -1.5724857]"
a parent supplied a hero a meal .,the employee drew the motor for the son .,DO,PD,SUPPLY,DRAW,A,THE,to,for,-50.24756622314453,"[-3.1490114, -9.447165, -8.220196, -2.4093027, -10.46274, -4.0523386, -0.88101697, -8.9457855, -2.6800103]"
a parent supplied a hero a meal .,the employee drew the son the motor .,DO,DO,SUPPLY,DRAW,A,THE,to,for,-52.570556640625,"[-3.1490114, -9.447165, -8.220196, -2.4093027, -9.705439, -7.0530176, -9.90804, -2.678385]"
a parent supplied a meal to a hero .,the employee drew the motor for the son .,PD,PD,SUPPLY,DRAW,A,THE,to,for,-50.411048889160156,"[-3.1705055, -9.531311, -8.103051, -2.331541, -10.546142, -3.9137897, -0.8190007, -9.258959, -2.7367494]"
a parent supplied a meal to a hero .,the employee drew the son the motor .,PD,DO,SUPPLY,DRAW,A,THE,to,for,-53.34383010864258,"[-3.1705055, -9.531311, -8.103051, -2.331541, -10.0349455, -8.127625, -9.540625, -2.504224]"
a parent supplied a wire to a guest .,the child purchased the chocolate for the wife .,PD,PD,SUPPLY,PURCHASE,A,THE,to,for,-47.12229537963867,"[-3.1928458, -8.489929, -12.169456, -1.5110531, -8.125414, -3.5579004, -1.8939552, -6.9345717, -1.2471724]"
a parent supplied a wire to a guest .,the child purchased the wife the chocolate .,PD,DO,SUPPLY,PURCHASE,A,THE,to,for,-49.574012756347656,"[-3.1928458, -8.489929, -12.169456, -1.5110531, -9.258045, -5.4872155, -7.756173, -1.7092943]"
a parent threw a cigarette to a guy .,the reader found the tea for the buddy .,PD,PD,THROW,FIND,A,THE,to,for,-51.32252883911133,"[-3.185405, -9.062145, -6.343258, -1.5504341, -11.196958, -4.802868, -1.5040376, -12.210791, -1.4666336]"
a parent threw a cigarette to a guy .,the reader found the buddy the tea .,PD,DO,THROW,FIND,A,THE,to,for,-52.04627990722656,"[-3.185405, -9.062145, -6.343258, -1.5504341, -13.661148, -5.2971034, -10.55569, -2.3910956]"
a parent threw a cigarette to a guy .,the leader found the tea for the husband .,PD,PD,THROW,FIND,A,THE,to,for,-45.19800567626953,"[-3.185405, -7.5188355, -8.602989, -1.9583434, -8.53435, -4.8472185, -1.389982, -7.898596, -1.2622849]"
a parent threw a cigarette to a guy .,the leader found the husband the tea .,PD,DO,THROW,FIND,A,THE,to,for,-47.75596237182617,"[-3.185405, -7.5188355, -8.602989, -1.9583434, -8.510479, -5.802209, -10.513955, -1.6637455]"
a parent threw a cigarette to a guy .,the actress sent the candy to the club .,PD,PD,THROW,SEND,A,THE,to,to,-45.207611083984375,"[-3.185405, -9.318947, -7.806316, -2.3982222, -10.189813, -0.7272055, -2.078774, -7.990068, -1.5128611]"
a parent threw a cigarette to a guy .,the actress sent the club the candy .,PD,DO,THROW,SEND,A,THE,to,to,-46.98471450805664,"[-3.185405, -9.318947, -7.806316, -2.3982222, -8.797949, -3.5397072, -9.563506, -2.3746643]"
a parent threw a coffee to an employer .,the child supplied the cheese to the army .,PD,PD,THROW,SUPPLY,A,THE,to,to,-43.72861099243164,"[-3.1792307, -8.177404, -11.327595, -1.1693804, -7.52664, -1.7807007, -0.71592677, -8.924759, -0.9269746]"
a parent threw a coffee to an employer .,the child supplied the army the cheese .,PD,DO,THROW,SUPPLY,A,THE,to,to,-50.4852409362793,"[-3.1792307, -8.177404, -11.327595, -1.1693804, -10.594708, -5.963107, -8.846998, -1.2268165]"
a parent threw a guy a cigarette .,the reader found the tea for the buddy .,DO,PD,THROW,FIND,A,THE,to,for,-51.51995849609375,"[-3.1654859, -8.851194, -6.3108063, -1.624738, -11.112065, -5.0988164, -1.6217437, -12.125076, -1.6100295]"
a parent threw a guy a cigarette .,the reader found the buddy the tea .,DO,DO,THROW,FIND,A,THE,to,for,-51.20975875854492,"[-3.1654859, -8.851194, -6.3108063, -1.624738, -13.514076, -5.223787, -10.421394, -2.0982761]"
a parent threw a guy a cigarette .,the leader found the tea for the husband .,DO,PD,THROW,FIND,A,THE,to,for,-45.93682098388672,"[-3.1654859, -7.564603, -8.917443, -2.0615578, -8.5938635, -5.15987, -1.5506053, -7.727688, -1.195702]"
a parent threw a guy a cigarette .,the leader found the husband the tea .,DO,DO,THROW,FIND,A,THE,to,for,-47.896278381347656,"[-3.1654859, -7.564603, -8.917443, -2.0615578, -8.533617, -5.8967013, -10.243704, -1.5131649]"
a parent threw a guy a cigarette .,the actress sent the candy to the club .,DO,PD,THROW,SEND,A,THE,to,to,-45.78324890136719,"[-3.1654859, -9.190651, -7.7523994, -2.4398952, -10.136009, -1.2944959, -2.0351062, -8.106797, -1.662409]"
a parent threw a guy a cigarette .,the actress sent the club the candy .,DO,DO,THROW,SEND,A,THE,to,to,-46.00205612182617,"[-3.1654859, -9.190651, -7.7523994, -2.4398952, -8.29521, -3.6075416, -9.456783, -2.0940886]"
a parent threw a log to an employer .,the leader made the television for the sheriff .,PD,PD,THROW,MAKE,A,THE,to,for,-56.234710693359375,"[-3.1751423, -7.395384, -12.968166, -1.3790553, -10.422478, -6.5922456, -0.7490954, -11.748561, -1.8045834]"
a parent threw a log to an employer .,the leader made the sheriff the television .,PD,DO,THROW,MAKE,A,THE,to,for,-59.71125030517578,"[-3.1751423, -7.395384, -12.968166, -1.3790553, -14.922667, -3.584716, -10.748994, -5.5371284]"
a parent threw an employer a coffee .,the child supplied the cheese to the army .,DO,PD,THROW,SUPPLY,A,THE,to,to,-46.38051223754883,"[-3.1906936, -8.251284, -11.277465, -1.2847202, -7.683291, -3.0903535, -0.9082824, -9.595167, -1.099256]"
a parent threw an employer a coffee .,the child supplied the army the cheese .,DO,DO,THROW,SUPPLY,A,THE,to,to,-49.95421600341797,"[-3.1906936, -8.251284, -11.277465, -1.2847202, -10.637592, -5.4765744, -8.851353, -0.98453677]"
a parent threw an employer a log .,the leader made the television for the sheriff .,DO,PD,THROW,MAKE,A,THE,to,for,-56.15174865722656,"[-3.1729164, -7.4527965, -12.924947, -1.6714369, -10.060147, -5.944083, -0.8369304, -12.045583, -2.042907]"
